uniprot_id,gene,protein,description
P04275,VWF,VWF_HUMAN,von Willebrand factor
P04350,TUBB4A,TBB4A_HUMAN,Tubulin beta-4A chain
P04406,GAPDH,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase
P04439,HLA-A,HLAA_HUMAN,"HLA class I histocompatibility antigen, A alpha chain"
P04632,CAPNS1,CPNS1_HUMAN,Calpain small subunit 1
P04792,HSPB1,HSPB1_HUMAN,Heat shock protein beta-1
P04843,RPN1,RPN1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
P04844,RPN2,RPN2_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
P04899,GNAI2,GNAI2_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-2
P04921,GYPC,GLPC_HUMAN,Glycophorin-C
P05023,ATP1A1,AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1
P05026,ATP1B1,AT1B1_HUMAN,Sodium/potassium-transporting ATPase subunit beta-1
P05090,APOD,APOD_HUMAN,Apolipoprotein D
P05091,ALDH2,ALDH2_HUMAN,"Aldehyde dehydrogenase, mitochondrial"
P05109,S100A8,S10A8_HUMAN,Protein S100-A8
P05141,SLC25A5,ADT2_HUMAN,ADP/ATP translocase 2
P05154,SERPINA5,IPSP_HUMAN,Plasma serine protease inhibitor
P05155,SERPING1,IC1_HUMAN,Plasma protease C1 inhibitor
P05164,MPO,PERM_HUMAN,Myeloperoxidase
P05165,PCCA,PCCA_HUMAN,"Propionyl-CoA carboxylase alpha chain, mitochondrial"
P05166,PCCB,PCCB_HUMAN,"Propionyl-CoA carboxylase beta chain, mitochondrial"
P05198,EIF2S1,IF2A_HUMAN,Eukaryotic translation initiation factor 2 subunit 1
P05386,RPLP1,RLA1_HUMAN,60S acidic ribosomal protein P1
P05387,RPLP2,RLA2_HUMAN,60S acidic ribosomal protein P2
P05388,RPLP0,RLA0_HUMAN,60S acidic ribosomal protein P0
P05413,FABP3,FABPH_HUMAN,"Fatty acid-binding protein, heart"
P05452,CLEC3B,TETN_HUMAN,Tetranectin
P05455,SSB,LA_HUMAN,Lupus La protein
P05556,ITGB1,ITB1_HUMAN,Integrin beta-1
P05787,KRT8,K2C8_HUMAN,"Keratin, type II cytoskeletal 8"
P05976,MYL1,MYL1_HUMAN,"Myosin light chain 1/3, skeletal muscle isoform"
P06132,UROD,DCUP_HUMAN,Uroporphyrinogen decarboxylase
P06276,BCHE,CHLE_HUMAN,Cholinesterase
P06396,GSN,GELS_HUMAN,Gelsolin
P06576,ATP5F1B,ATPB_HUMAN,"ATP synthase subunit beta, mitochondrial"
P06702,S100A9,S10A9_HUMAN,Protein S100-A9
P06703,S100A6,S10A6_HUMAN,Protein S100-A6
P06730,EIF4E,IF4E_HUMAN,Eukaryotic translation initiation factor 4E
P06732,CKM,KCRM_HUMAN,Creatine kinase M-type
P06733,ENO1,ENOA_HUMAN,Alpha-enolase
P06737,PYGL,PYGL_HUMAN,"Glycogen phosphorylase, liver form"
P06744,GPI,G6PI_HUMAN,Glucose-6-phosphate isomerase
P06748,NPM1,NPM_HUMAN,Nucleophosmin
P06753,TPM3,TPM3_HUMAN,Tropomyosin alpha-3 chain
P07099,EPHX1,HYEP_HUMAN,Epoxide hydrolase 1
P07108,DBI,ACBP_HUMAN,Acyl-CoA-binding protein
P07195,LDHB,LDHB_HUMAN,L-lactate dehydrogenase B chain
P07203,GPX1,GPX1_HUMAN,Glutathione peroxidase 1
P07225,PROS1,PROS_HUMAN,Vitamin K-dependent protein S
P07237,P4HB,PDIA1_HUMAN,Protein disulfide-isomerase
P07305,H1-0,H10_HUMAN,Histone H1.0
P07339,CTSD,CATD_HUMAN,Cathepsin D
P07355,ANXA2,ANXA2_HUMAN,Annexin A2
P07384,CAPN1,CAN1_HUMAN,Calpain-1 catalytic subunit
P07437,TUBB,TBB5_HUMAN,Tubulin beta chain
P07451,CA3,CAH3_HUMAN,Carbonic anhydrase 3
P07585,DCN,PGS2_HUMAN,Decorin
P07602,PSAP,SAP_HUMAN,Prosaposin
P07686,HEXB,HEXB_HUMAN,Beta-hexosaminidase subunit beta
P07711,CTSL,CATL1_HUMAN,Cathepsin L1
P07737,PFN1,PROF1_HUMAN,Profilin-1
P07738,BPGM,PMGE_HUMAN,Bisphosphoglycerate mutase
P07741,APRT,APT_HUMAN,Adenine phosphoribosyltransferase
P07814,EPRS1,SYEP_HUMAN,Bifunctional glutamate/proline--tRNA ligase
P07858,CTSB,CATB_HUMAN,Cathepsin B
P07900,HSP90AA1,HS90A_HUMAN,Heat shock protein HSP 90-alpha
P07910,HNRNPC,HNRPC_HUMAN,Heterogeneous nuclear ribonucleoproteins C1/C2
P07919,UQCRH,QCR6_HUMAN,"Cytochrome b-c1 complex subunit 6, mitochondrial"
P07942,LAMB1,LAMB1_HUMAN,Laminin subunit beta-1
P07951,TPM2,TPM2_HUMAN,Tropomyosin beta chain
P07954,FH,FUMH_HUMAN,"Fumarate hydratase, mitochondrial"
P07996,THBS1,TSP1_HUMAN,Thrombospondin-1
P08123,COL1A2,CO1A2_HUMAN,Collagen alpha-2(I) chain
P08133,ANXA6,ANXA6_HUMAN,Annexin A6
P08134,RHOC,RHOC_HUMAN,Rho-related GTP-binding protein RhoC
P08237,PFKM,PFKAM_HUMAN,"ATP-dependent 6-phosphofructokinase, muscle type"
P08238,HSP90AB1,HS90B_HUMAN,Heat shock protein HSP 90-beta
P08294,SOD3,SODE_HUMAN,Extracellular superoxide dismutase [Cu-Zn]
P08311,CTSG,CATG_HUMAN,Cathepsin G
P08397,HMBS,HEM3_HUMAN,Porphobilinogen deaminase
P08473,MME,NEP_HUMAN,Neprilysin
P08559,PDHA1,ODPA_HUMAN,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"
P08571,CD14,CD14_HUMAN,Monocyte differentiation antigen CD14
P08572,COL4A2,CO4A2_HUMAN,Collagen alpha-2(IV) chain
P08574,CYC1,CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial"
P08590,MYL3,MYL3_HUMAN,Myosin light chain 3
P08621,SNRNP70,RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa
P08651,NFIC,NFIC_HUMAN,Nuclear factor 1 C-type
P08670,VIM,VIME_HUMAN,Vimentin
P08697,SERPINF2,A2AP_HUMAN,Alpha-2-antiplasmin
P08708,RPS17,RS17_HUMAN,40S ribosomal protein S17
P08727,KRT19,K1C19_HUMAN,"Keratin, type I cytoskeletal 19"
P08754,GNAI3,GNAI3_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha
P08758,ANXA5,ANXA5_HUMAN,Annexin A5
P08865,RPSA,RSSA_HUMAN,40S ribosomal protein SA
P08962,CD63,CD63_HUMAN,CD63 antigen
P09104,ENO2,ENOG_HUMAN,Gamma-enolase
P09110,ACAA1,THIK_HUMAN,"3-ketoacyl-CoA thiolase, peroxisomal"
P09211,GSTP1,GSTP1_HUMAN,Glutathione S-transferase P
P09382,LGALS1,LEG1_HUMAN,Galectin-1
P09417,QDPR,DHPR_HUMAN,Dihydropteridine reductase
P09429,HMGB1,HMGB1_HUMAN,High mobility group protein B1
P09467,FBP1,F16P1_HUMAN,"Fructose-1,6-bisphosphatase 1"
P09486,SPARC,SPRC_HUMAN,SPARC
P09488,GSTM1,GSTM1_HUMAN,Glutathione S-transferase Mu 1
P09493,TPM1,TPM1_HUMAN,Tropomyosin alpha-1 chain
P09496,CLTA,CLCA_HUMAN,Clathrin light chain A
P09497,CLTB,CLCB_HUMAN,Clathrin light chain B
P09525,ANXA4,ANXA4_HUMAN,Annexin A4
P09543,CNP,CN37_HUMAN,"2',3'-cyclic-nucleotide 3'-phosphodiesterase"
P09622,DLD,DLDH_HUMAN,"Dihydrolipoyl dehydrogenase, mitochondrial"
P09651,HNRNPA1,ROA1_HUMAN,Heterogeneous nuclear ribonucleoprotein A1
P09668,CTSH,CATH_HUMAN,Pro-cathepsin H
P09669,COX6C,COX6C_HUMAN,Cytochrome c oxidase subunit 6C
P09874,PARP1,PARP1_HUMAN,Poly [ADP-ribose] polymerase 1
P09936,UCHL1,UCHL1_HUMAN,Ubiquitin carboxyl-terminal hydrolase isozyme L1
P09960,LTA4H,LKHA4_HUMAN,Leukotriene A-4 hydrolase
P09972,ALDOC,ALDOC_HUMAN,Fructose-bisphosphate aldolase C
P0CW19,LIMS3,LIMS3_HUMAN,LIM and senescent cell antigen-like-containing domain protein 3
P0DMV8,HSPA1A,HS71A_HUMAN,Heat shock 70 kDa protein 1A
P0DP23,CALM1,CALM1_HUMAN,Calmodulin-1
P10109,FDX1,ADX_HUMAN,"Adrenodoxin, mitochondrial"
P10155,RO60,RO60_HUMAN,60 kDa SS-A/Ro ribonucleoprotein
P10253,GAA,LYAG_HUMAN,Lysosomal alpha-glucosidase
P10301,RRAS,RRAS_HUMAN,Ras-related protein R-Ras
P10321,HLA-C,HLAC_HUMAN,"HLA class I histocompatibility antigen, C alpha chain"
P10398,ARAF,ARAF_HUMAN,Serine/threonine-protein kinase A-Raf
P10415,BCL2,BCL2_HUMAN,Apoptosis regulator Bcl-2
P10515,DLAT,ODP2_HUMAN,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
P10599,TXN,THIO_HUMAN,Thioredoxin
P10606,COX5B,COX5B_HUMAN,"Cytochrome c oxidase subunit 5B, mitochondrial"
P10620,MGST1,MGST1_HUMAN,Microsomal glutathione S-transferase 1
P10636,MAPT,TAU_HUMAN,Microtubule-associated protein tau
P10644,PRKAR1A,KAP0_HUMAN,cAMP-dependent protein kinase type I-alpha regulatory subunit
P10746,UROS,HEM4_HUMAN,Uroporphyrinogen-III synthase
P10768,ESD,ESTD_HUMAN,S-formylglutathione hydrolase
P10809,HSPD1,CH60_HUMAN,"60 kDa heat shock protein, mitochondrial"
P10909,CLU,CLUS_HUMAN,Clusterin
P10916,MYL2,MLRV_HUMAN,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform"
P11021,HSPA5,BIP_HUMAN,Endoplasmic reticulum chaperone BiP
P11047,LAMC1,LAMC1_HUMAN,Laminin subunit gamma-1
P11055,MYH3,MYH3_HUMAN,Myosin-3
P11142,HSPA8,HSP7C_HUMAN,Heat shock cognate 71 kDa protein
P11166,SLC2A1,GTR1_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 1"
P11171,EPB41,41_HUMAN,Protein 4.1
P11177,PDHB,ODPB_HUMAN,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
P11182,DBT,ODB2_HUMAN,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial"
P11216,PYGB,PYGB_HUMAN,"Glycogen phosphorylase, brain form"
P11217,PYGM,PYGM_HUMAN,"Glycogen phosphorylase, muscle form"
P11233,RALA,RALA_HUMAN,Ras-related protein Ral-A
P11234,RALB,RALB_HUMAN,Ras-related protein Ral-B
P11277,SPTB,SPTB1_HUMAN,"Spectrin beta chain, erythrocytic"
P11279,LAMP1,LAMP1_HUMAN,Lysosome-associated membrane glycoprotein 1
P11310,ACADM,ACADM_HUMAN,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
P11413,G6PD,G6PD_HUMAN,Glucose-6-phosphate 1-dehydrogenase
P11498,PC,PYC_HUMAN,"Pyruvate carboxylase, mitochondrial"
P11532,DMD,DMD_HUMAN,Dystrophin
P11586,MTHFD1,C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic"
P11766,ADH5,ADHX_HUMAN,Alcohol dehydrogenase class-3
P11940,PABPC1,PABP1_HUMAN,Polyadenylate-binding protein 1
P12004,PCNA,PCNA_HUMAN,Proliferating cell nuclear antigen
P12081,HARS1,HARS1_HUMAN,"Histidine--tRNA ligase, cytoplasmic"
P12109,COL6A1,CO6A1_HUMAN,Collagen alpha-1(VI) chain
P12110,COL6A2,CO6A2_HUMAN,Collagen alpha-2(VI) chain
P12111,COL6A3,CO6A3_HUMAN,Collagen alpha-3(VI) chain
P12235,SLC25A4,ADT1_HUMAN,ADP/ATP translocase 1
P12236,SLC25A6,ADT3_HUMAN,ADP/ATP translocase 3
P12268,IMPDH2,IMDH2_HUMAN,Inosine-5'-monophosphate dehydrogenase 2
P12277,CKB,KCRB_HUMAN,Creatine kinase B-type
P12429,ANXA3,ANXA3_HUMAN,Annexin A3
P12694,BCKDHA,ODBA_HUMAN,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
P12814,ACTN1,ACTN1_HUMAN,Alpha-actinin-1
P12829,MYL4,MYL4_HUMAN,Myosin light chain 4
P12882,MYH1,MYH1_HUMAN,Myosin-1
P12883,MYH7,MYH7_HUMAN,Myosin-7
P12955,PEPD,PEPD_HUMAN,Xaa-Pro dipeptidase
P12956,XRCC6,XRCC6_HUMAN,X-ray repair cross-complementing protein 6
P13010,XRCC5,XRCC5_HUMAN,X-ray repair cross-complementing protein 5
P13073,COX4I1,COX41_HUMAN,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
P13164,IFITM1,IFM1_HUMAN,Interferon-induced transmembrane protein 1
P13473,LAMP2,LAMP2_HUMAN,Lysosome-associated membrane glycoprotein 2
P13489,RNH1,RINI_HUMAN,Ribonuclease inhibitor
P13535,MYH8,MYH8_HUMAN,Myosin-8
P13611,VCAN,CSPG2_HUMAN,Versican core protein
P13639,EEF2,EF2_HUMAN,Elongation factor 2
P13645,KRT10,K1C10_HUMAN,"Keratin, type I cytoskeletal 10"
P13647,KRT5,K2C5_HUMAN,"Keratin, type II cytoskeletal 5"
P13667,PDIA4,PDIA4_HUMAN,Protein disulfide-isomerase A4
P13693,TPT1,TCTP_HUMAN,Translationally-controlled tumor protein
P13716,ALAD,HEM2_HUMAN,Delta-aminolevulinic acid dehydratase
P13796,LCP1,PLSL_HUMAN,Plastin-2
P13797,PLS3,PLST_HUMAN,Plastin-3
P13798,APEH,ACPH_HUMAN,Acylamino-acid-releasing enzyme
P13804,ETFA,ETFA_HUMAN,"Electron transfer flavoprotein subunit alpha, mitochondrial"
P13805,TNNT1,TNNT1_HUMAN,"Troponin T, slow skeletal muscle"
P13807,GYS1,GYS1_HUMAN,"Glycogen [starch] synthase, muscle"
P13861,PRKAR2A,KAP2_HUMAN,cAMP-dependent protein kinase type II-alpha regulatory subunit
P13929,ENO3,ENOB_HUMAN,Beta-enolase
P13987,CD59,CD59_HUMAN,CD59 glycoprotein
P14174,MIF,MIF_HUMAN,Macrophage migration inhibitory factor
P14207,FOLR2,FOLR2_HUMAN,Folate receptor beta
P14209,CD99,CD99_HUMAN,CD99 antigen
P14314,PRKCSH,GLU2B_HUMAN,Glucosidase 2 subunit beta
P14317,HCLS1,HCLS1_HUMAN,Hematopoietic lineage cell-specific protein
P14324,FDPS,FPPS_HUMAN,Farnesyl pyrophosphate synthase
P14406,COX7A2,CX7A2_HUMAN,"Cytochrome c oxidase subunit 7A2, mitochondrial"
P14543,NID1,NID1_HUMAN,Nidogen-1
P14550,AKR1A1,AK1A1_HUMAN,Aldo-keto reductase family 1 member A1
P14618,PKM,KPYM_HUMAN,Pyruvate kinase PKM
P14621,ACYP2,ACYP2_HUMAN,Acylphosphatase-2
P14625,HSP90B1,ENPL_HUMAN,Endoplasmin
P14649,MYL6B,MYL6B_HUMAN,Myosin light chain 6B
P14678,SNRPB,RSMB_HUMAN,Small nuclear ribonucleoprotein-associated proteins B and B'
P14735,IDE,IDE_HUMAN,Insulin-degrading enzyme
P14854,COX6B1,CX6B1_HUMAN,Cytochrome c oxidase subunit 6B1
P14866,HNRNPL,HNRPL_HUMAN,Heterogeneous nuclear ribonucleoprotein L
P14868,DARS1,SYDC_HUMAN,"Aspartate--tRNA ligase, cytoplasmic"
P14923,JUP,PLAK_HUMAN,Junction plakoglobin
P14927,UQCRB,QCR7_HUMAN,Cytochrome b-c1 complex subunit 7
P15088,CPA3,CBPA3_HUMAN,Mast cell carboxypeptidase A
P15090,FABP4,FABP4_HUMAN,"Fatty acid-binding protein, adipocyte"
P15104,GLUL,GLNA_HUMAN,Glutamine synthetase
P15121,AKR1B1,ALDR_HUMAN,Aldo-keto reductase family 1 member B1
P15170,GSPT1,ERF3A_HUMAN,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
P15259,PGAM2,PGAM2_HUMAN,Phosphoglycerate mutase 2
P15311,EZR,EZRI_HUMAN,Ezrin
P15374,UCHL3,UCHL3_HUMAN,Ubiquitin carboxyl-terminal hydrolase isozyme L3
P15531,NME1,NDKA_HUMAN,Nucleoside diphosphate kinase A
P15586,GNS,GNS_HUMAN,N-acetylglucosamine-6-sulfatase
P15880,RPS2,RS2_HUMAN,40S ribosomal protein S2
P15927,RPA2,RFA2_HUMAN,Replication protein A 32 kDa subunit
P15954,COX7C,COX7C_HUMAN,"Cytochrome c oxidase subunit 7C, mitochondrial"
P16070,CD44,CD44_HUMAN,CD44 antigen
P16083,NQO2,NQO2_HUMAN,Ribosyldihydronicotinamide dehydrogenase [quinone]
P16118,PFKFB1,F261_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1"
P16152,CBR1,CBR1_HUMAN,Carbonyl reductase [NADPH] 1
P16157,ANK1,ANK1_HUMAN,Ankyrin-1
P16219,ACADS,ACADS_HUMAN,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
P16284,PECAM1,PECA1_HUMAN,Platelet endothelial cell adhesion molecule
P16298,PPP3CB,PP2BB_HUMAN,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
P16333,NCK1,NCK1_HUMAN,Cytoplasmic protein NCK1
P16615,ATP2A2,AT2A2_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
P16671,CD36,CD36_HUMAN,Platelet glycoprotein 4
P16930,FAH,FAAA_HUMAN,Fumarylacetoacetase
P16949,STMN1,STMN1_HUMAN,Stathmin
P16989,YBX3,YBOX3_HUMAN,Y-box-binding protein 3
P17152,TMEM11,TMM11_HUMAN,"Transmembrane protein 11, mitochondrial"
P17174,GOT1,AATC_HUMAN,"Aspartate aminotransferase, cytoplasmic"
P17540,CKMT2,KCRS_HUMAN,"Creatine kinase S-type, mitochondrial"
P17568,NDUFB7,NDUB7_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
P17612,PRKACA,KAPCA_HUMAN,cAMP-dependent protein kinase catalytic subunit alpha
P17655,CAPN2,CAN2_HUMAN,Calpain-2 catalytic subunit
P17661,DES,DESM_HUMAN,Desmin
P17812,CTPS1,PYRG1_HUMAN,CTP synthase 1
P17858,PFKL,PFKAL_HUMAN,"ATP-dependent 6-phosphofructokinase, liver type"
P17931,LGALS3,LEG3_HUMAN,Galectin-3
P17980,PSMC3,PRS6A_HUMAN,26S proteasome regulatory subunit 6A
P17987,TCP1,TCPA_HUMAN,T-complex protein 1 subunit alpha
P18077,RPL35A,RL35A_HUMAN,60S ribosomal protein L35a
P18085,ARF4,ARF4_HUMAN,ADP-ribosylation factor 4
P18124,RPL7,RL7_HUMAN,60S ribosomal protein L7
P18206,VCL,VINC_HUMAN,Vinculin
P18577,RHCE,RHCE_HUMAN,Blood group Rh(CE) polypeptide
P18621,RPL17,RL17_HUMAN,60S ribosomal protein L17
P18669,PGAM1,PGAM1_HUMAN,Phosphoglycerate mutase 1
P18859,ATP5PF,ATP5J_HUMAN,"ATP synthase-coupling factor 6, mitochondrial"
P19237,TNNI1,TNNI1_HUMAN,"Troponin I, slow skeletal muscle"
P19256,CD58,LFA3_HUMAN,Lymphocyte function-associated antigen 3
P19338,NCL,NUCL_HUMAN,Nucleolin
P19367,HK1,HXK1_HUMAN,Hexokinase-1
P19404,NDUFV2,NDUV2_HUMAN,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
P19623,SRM,SPEE_HUMAN,Spermidine synthase
P19971,TYMP,TYPH_HUMAN,Thymidine phosphorylase
P20020,ATP2B1,AT2B1_HUMAN,Plasma membrane calcium-transporting ATPase 1
P20042,EIF2S2,IF2B_HUMAN,Eukaryotic translation initiation factor 2 subunit 2
P20073,ANXA7,ANXA7_HUMAN,Annexin A7
P20231,TPSB2,TRYB2_HUMAN,Tryptase beta-2
P20290,BTF3,BTF3_HUMAN,Transcription factor BTF3
P20338,RAB4A,RAB4A_HUMAN,Ras-related protein Rab-4A
P20340,RAB6A,RAB6A_HUMAN,Ras-related protein Rab-6A
P20472,PVALB,PRVA_HUMAN,Parvalbumin alpha
P20618,PSMB1,PSB1_HUMAN,Proteasome subunit beta type-1
P20674,COX5A,COX5A_HUMAN,"Cytochrome c oxidase subunit 5A, mitochondrial"
P20774,OGN,MIME_HUMAN,Mimecan
P20807,CAPN3,CAN3_HUMAN,Calpain-3
P20810,CAST,ICAL_HUMAN,Calpastatin
P20929,NEB,NEBU_HUMAN,Nebulin
P20962,PTMS,PTMS_HUMAN,Parathymosin
P21266,GSTM3,GSTM3_HUMAN,Glutathione S-transferase Mu 3
P21281,ATP6V1B2,VATB2_HUMAN,"V-type proton ATPase subunit B, brain isoform"
P21291,CSRP1,CSRP1_HUMAN,Cysteine and glycine-rich protein 1
P21333,FLNA,FLNA_HUMAN,Filamin-A
P21397,MAOA,AOFA_HUMAN,Amine oxidase [flavin-containing] A
P21399,ACO1,ACOC_HUMAN,Cytoplasmic aconitate hydratase
P21589,NT5E,5NTD_HUMAN,5'-nucleotidase
P21695,GPD1,GPDA_HUMAN,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
P21796,VDAC1,VDAC1_HUMAN,Voltage-dependent anion-selective channel protein 1
P21810,BGN,PGS1_HUMAN,Biglycan
P21817,RYR1,RYR1_HUMAN,Ryanodine receptor 1
P21912,SDHB,SDHB_HUMAN,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
P21926,CD9,CD9_HUMAN,CD9 antigen
P21953,BCKDHB,ODBB_HUMAN,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
P21964,COMT,COMT_HUMAN,Catechol O-methyltransferase
P21980,TGM2,TGM2_HUMAN,Protein-glutamine gamma-glutamyltransferase 2
P22033,MMUT,MUTA_HUMAN,"Methylmalonyl-CoA mutase, mitochondrial"
P22059,OSBP,OSBP1_HUMAN,Oxysterol-binding protein 1
P22061,PCMT1,PIMT_HUMAN,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
P22087,FBL,FBRL_HUMAN,rRNA 2'-O-methyltransferase fibrillarin
P22102,GART,PUR2_HUMAN,Trifunctional purine biosynthetic protein adenosine-3
P22105,TNXB,TENX_HUMAN,Tenascin-X
P22234,PAICS,PUR6_HUMAN,Multifunctional protein ADE2
P22307,SCP2,NLTP_HUMAN,Non-specific lipid-transfer protein
P22314,UBA1,UBA1_HUMAN,Ubiquitin-like modifier-activating enzyme 1
P22352,GPX3,GPX3_HUMAN,Glutathione peroxidase 3
P22392,NME2,NDKB_HUMAN,Nucleoside diphosphate kinase B
P22570,FDXR,ADRO_HUMAN,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
P22626,HNRNPA2B1,ROA2_HUMAN,Heterogeneous nuclear ribonucleoproteins A2/B1
P22695,UQCRC2,QCR2_HUMAN,"Cytochrome b-c1 complex subunit 2, mitochondrial"
P22748,CA4,CAH4_HUMAN,Carbonic anhydrase 4
P22830,FECH,HEMH_HUMAN,"Ferrochelatase, mitochondrial"
P22897,MRC1,MRC1_HUMAN,Macrophage mannose receptor 1
P23109,AMPD1,AMPD1_HUMAN,AMP deaminase 1
P23141,CES1,EST1_HUMAN,Liver carboxylesterase 1
P23142,FBLN1,FBLN1_HUMAN,Fibulin-1
P23229,ITGA6,ITA6_HUMAN,Integrin alpha-6
P23246,SFPQ,SFPQ_HUMAN,"Splicing factor, proline- and glutamine-rich"
P23284,PPIB,PPIB_HUMAN,Peptidyl-prolyl cis-trans isomerase B
P23297,S100A1,S10A1_HUMAN,Protein S100-A1
P23327,HRC,SRCH_HUMAN,Sarcoplasmic reticulum histidine-rich calcium-binding protein
P23368,ME2,MAOM_HUMAN,"NAD-dependent malic enzyme, mitochondrial"
P23381,WARS1,SYWC_HUMAN,"Tryptophan--tRNA ligase, cytoplasmic"
P23396,RPS3,RS3_HUMAN,40S ribosomal protein S3
P23434,GCSH,GCSH_HUMAN,"Glycine cleavage system H protein, mitochondrial"
P23526,AHCY,SAHH_HUMAN,Adenosylhomocysteinase
P23528,CFL1,COF1_HUMAN,Cofilin-1
P23588,EIF4B,IF4B_HUMAN,Eukaryotic translation initiation factor 4B
P23634,ATP2B4,AT2B4_HUMAN,Plasma membrane calcium-transporting ATPase 4
P23786,CPT2,CPT2_HUMAN,"Carnitine O-palmitoyltransferase 2, mitochondrial"
P24043,LAMA2,LAMA2_HUMAN,Laminin subunit alpha-2
P24298,GPT,ALAT1_HUMAN,Alanine aminotransferase 1
P24310,COX7A1,CX7A1_HUMAN,"Cytochrome c oxidase subunit 7A1, mitochondrial"
P24534,EEF1B2,EF1B_HUMAN,Elongation factor 1-beta
P24539,ATP5PB,AT5F1_HUMAN,"ATP synthase F(0) complex subunit B1, mitochondrial"
P24593,IGFBP5,IBP5_HUMAN,Insulin-like growth factor-binding protein 5
P24666,ACP1,PPAC_HUMAN,Low molecular weight phosphotyrosine protein phosphatase
P24752,ACAT1,THIL_HUMAN,"Acetyl-CoA acetyltransferase, mitochondrial"
P24844,MYL9,MYL9_HUMAN,Myosin regulatory light polypeptide 9
P25311,AZGP1,ZA2G_HUMAN,Zinc-alpha-2-glycoprotein
P25325,MPST,THTM_HUMAN,3-mercaptopyruvate sulfurtransferase
P25398,RPS12,RS12_HUMAN,40S ribosomal protein S12
P25685,DNAJB1,DNJB1_HUMAN,DnaJ homolog subfamily B member 1
P25686,DNAJB2,DNJB2_HUMAN,DnaJ homolog subfamily B member 2
P25705,ATP5F1A,ATPA_HUMAN,"ATP synthase subunit alpha, mitochondrial"
P25786,PSMA1,PSA1_HUMAN,Proteasome subunit alpha type-1
P25787,PSMA2,PSA2_HUMAN,Proteasome subunit alpha type-2
P25788,PSMA3,PSA3_HUMAN,Proteasome subunit alpha type-3
P25789,PSMA4,PSA4_HUMAN,Proteasome subunit alpha type-4
P26038,MSN,MOES_HUMAN,Moesin
P26196,DDX6,DDX6_HUMAN,Probable ATP-dependent RNA helicase DDX6
P26368,U2AF2,U2AF2_HUMAN,Splicing factor U2AF 65 kDa subunit
P26373,RPL13,RL13_HUMAN,60S ribosomal protein L13
P26440,IVD,IVD_HUMAN,"Isovaleryl-CoA dehydrogenase, mitochondrial"
P26447,S100A4,S10A4_HUMAN,Protein S100-A4
P26583,HMGB2,HMGB2_HUMAN,High mobility group protein B2
P26599,PTBP1,PTBP1_HUMAN,Polypyrimidine tract-binding protein 1
P26639,TARS1,SYTC_HUMAN,"Threonine--tRNA ligase 1, cytoplasmic"
P26640,VARS1,SYVC_HUMAN,Valine--tRNA ligase
P26641,EEF1G,EF1G_HUMAN,Elongation factor 1-gamma
P26678,PLN,PPLA_HUMAN,Cardiac phospholamban
P26885,FKBP2,FKBP2_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP2
P27105,STOM,STOM_HUMAN,Erythrocyte band 7 integral membrane protein
P27338,MAOB,AOFB_HUMAN,Amine oxidase [flavin-containing] B
P27348,YWHAQ,1433T_HUMAN,14-3-3 protein theta
P27361,MAPK3,MK03_HUMAN,Mitogen-activated protein kinase 3
P27487,DPP4,DPP4_HUMAN,Dipeptidyl peptidase 4
P27635,RPL10,RL10_HUMAN,60S ribosomal protein L10
P27694,RPA1,RFA1_HUMAN,Replication protein A 70 kDa DNA-binding subunit
